City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,zaraza,9.3503,-65.3245,29.89,70,81,1.76,VE,1691088933
84,puerto lempira,15.2667,-83.7667,31.08,66,75,4.63,HN,1691088933
85,turuntayevo,52.2,107.6167,16.05,95,100,0.8,RU,1691088934
86,srivardhan,18.0333,73.0167,26.05,89,100,6.0,IN,1691088934
87,las vegas,36.175,-115.1372,35.98,32,0,3.58,US,1691088683
88,westport,41.1415,-73.3579,27.4,59,0,5.66,US,1691088640
89,new norfolk,-42.7826,147.0587,11.51,77,100,0.86,AU,1691088652
90,sarangani,5.4033,125.4636,28.38,76,64,2.26,PH,1691088935
91,ribeira grande,38.5167,-28.7,25.22,69,40,6.69,PT,1691088578
92,bredasdorp,-34.5322,20.0403,15.06,59,88,1.4,ZA,1691088552
93,puerto ayora,-0.7393,-90.3518,29.98,87,64,2.24,EC,1691088648
94,mogadishu,2.0371,45.3438,24.57,86,54,8.81,SO,1691088615
95,kostomuksha,64.571,30.5767,16.21,96,100,2.22,RU,1691088936
96,mawlaik,23.6333,94.4167,25.07,99,100,0.45,MM,1691088936
97,georgetown,5.4112,100.3354,28.97,79,20,2.57,MY,1691088305
98,edinburgh of the seven seas,-37.0676,-12.3116,14.79,87,100,19.69,SH,1691088566
99,padre bernardo,-15.35,-48.5,32.05,17,27,0.6,BR,1691088937
100,najran,17.4924,44.1277,34.36,39,83,3.43,SA,1691088937
101,oppdal,62.5943,9.6912,13.02,93,99,2.91,NO,1691088938
102,lompoc,34.6391,-120.4579,22.69,72,20,9.83,US,1691088601
103,borogontsy,62.6683,131.1683,11.43,77,2,0.4,RU,1691088938
104,bethel,41.3712,-73.414,26.63,60,75,5.14,US,1691088449
105,al kharijah,25.4514,30.5464,34.76,17,0,5.65,EG,1691088639
106,taoudenni,22.6783,-3.9836,45.58,6,19,4.32,ML,1691088939
107,urangan,-25.3,152.9,19.49,63,90,6.67,AU,1691088939
108,namibe,-15.1961,12.1522,19.11,85,44,2.42,AO,1691088686
109,saipan,15.1355,145.701,27.39,100,0,2.06,MP,1691088621
110,carnarvon,-24.8667,113.6333,14.97,59,0,7.3,AU,1691088650
111,kalmunai,7.4167,81.8167,27.42,74,10,2.76,LK,1691088940
112,jamestown,42.097,-79.2353,27.79,49,0,4.02,US,1691088940
113,kuala tungkal,-0.8167,103.4667,24.86,93,100,2.68,ID,1691088941
114,karasuk,53.7377,78.0403,20.47,73,100,2.85,RU,1691088941
115,kormilovka,55.0026,74.1028,20.4,63,100,1.56,RU,1691088941
116,sainte-adresse,49.5089,0.0845,17.59,82,75,5.14,FR,1691088941
117,avarua,-21.2078,-159.775,22.03,88,100,4.12,CK,1691088575
118,sechura,-5.5569,-80.8222,27.9,59,4,6.3,PE,1691088942
119,lihue,21.9789,-159.3672,26.77,75,75,8.75,US,1691088561
120,tazovsky,67.4667,78.7,11.66,68,25,4.17,RU,1691088667
121,devils lake,48.1128,-98.8651,30.06,42,0,4.12,US,1691088943
122,nuriootpa,-34.4833,139.0,16.1,41,99,10.95,AU,1691088943
123,badger,64.8,-147.5333,21.74,62,75,1.54,US,1691088622
124,nuuk,64.1835,-51.7216,12.34,66,40,5.66,GL,1691088943
125,cabo san lucas,22.8909,-109.9124,37.01,49,20,4.12,MX,1691088088
126,aoulef,26.9667,1.0833,41.88,8,1,2.35,DZ,1691088700
127,shimanovsk,52.0,127.7,14.43,53,100,4.33,RU,1691088944
128,maridi,4.9158,29.4742,20.24,91,100,1.57,SS,1691088944
129,maralal,1.0968,36.698,15.25,79,100,2.79,KE,1691088945
130,blackfoot,43.1905,-112.345,19.21,88,100,3.75,US,1691088945
131,paradip garh,20.3167,86.6167,28.35,80,100,4.42,IN,1691088945
132,nizhnesortymskiy,62.4397,71.7603,20.54,70,75,4.15,RU,1691088671
133,kargasok,59.0556,80.8572,17.23,88,99,3.28,RU,1691088707
134,manay,7.215,126.5397,25.83,86,41,3.05,PH,1691088946
135,sloviansk,48.8667,37.6167,24.02,51,0,0.18,UA,1691088946
136,lively,46.4334,-81.1498,18.51,75,55,4.58,CA,1691088946
137,revda,56.801,59.9303,16.11,88,12,1.49,RU,1691088604
138,saint-philippe,-21.3585,55.7679,20.77,87,62,7.37,RE,1691088577
139,kabba,7.8287,6.0731,22.32,94,97,1.17,NG,1691088947
140,barcelos,41.5388,-8.6151,23.29,60,2,7.09,PT,1691088668
141,swan hill,-35.3378,143.5544,14.07,45,79,5.84,AU,1691088948
142,ushuaia,-54.8,-68.3,0.81,86,100,8.75,AR,1691088440
143,tam ky,15.5667,108.4833,27.16,77,100,2.81,VN,1691088948
144,port mathurin,-19.6833,63.4167,23.4,71,35,9.48,MU,1691088616
145,quila,24.4228,-107.22,37.17,43,20,4.1,MX,1691088949
146,palikir - national government center,6.9248,158.1611,25.41,89,75,0.0,FM,1691088949
147,yuzhno-kurilsk,44.0306,145.8556,20.05,90,100,6.22,RU,1691088555
148,poronaysk,49.2167,143.1167,13.82,90,100,1.81,RU,1691088950
149,tiksi,71.6872,128.8694,3.13,98,100,4.61,RU,1691088547
150,argostolion,38.1811,20.489,28.04,74,20,2.06,GR,1691088950
151,acapulco de juarez,16.8634,-99.8901,27.93,82,100,2.88,MX,1691088950
152,greymouth,-42.4667,171.2,3.87,86,49,1.97,NZ,1691088696
153,alo,7.4178,6.7371,23.96,95,94,1.53,NG,1691088951
154,damoh,23.8333,79.45,23.72,96,100,6.51,IN,1691088951
155,luderitz,-26.6481,15.1594,16.61,49,100,1.35,NA,1691088951
156,hammerfest,70.6634,23.6821,22.25,64,75,6.17,NO,1691088952
157,la puebla de montalban,39.863,-4.3592,29.61,15,0,7.72,ES,1691088952
158,rybnaya sloboda,55.4613,50.1409,18.75,79,34,0.91,RU,1691088952
159,alice springs,-23.7,133.8833,10.75,71,0,0.0,AU,1691088660
160,narasannapeta,18.4167,84.05,27.79,71,100,3.22,IN,1691088953
161,east london,-33.0153,27.9116,17.52,59,0,2.57,ZA,1691088328
162,villa gesell,-37.2639,-56.973,12.25,45,42,1.38,AR,1691088564
163,dong ha,16.8163,107.1003,26.69,79,100,5.71,VN,1691088953
164,uturoa,-16.7333,-151.4333,25.96,70,25,7.37,PF,1691088575
165,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,75,3.0,RU,1691088570
166,ziro,27.6333,93.8333,16.23,100,100,0.42,IN,1691088922
167,santa ana,33.7456,-117.8678,32.45,59,20,2.57,US,1691088479
168,verkhnevilyuysk,63.4453,120.3167,11.75,96,99,1.62,RU,1691088954
169,ibiza,38.9088,1.433,28.45,81,40,5.14,ES,1691088871
170,coahuayana de hidalgo,18.7,-103.6583,31.88,61,100,2.73,MX,1691088930
171,ivdel',60.6911,60.4206,17.19,98,100,2.12,RU,1691088955
172,harstad,68.799,16.5293,16.0,87,78,6.26,NO,1691088955
173,markaz-e hukumat-e darweshan,31.1323,64.1934,31.71,12,0,4.15,AF,1691088955
174,simcoe,42.8334,-80.2997,27.22,73,35,6.24,CA,1691088905
175,ad dilam,23.9915,47.1627,40.23,9,17,4.26,SA,1691088614
176,polyarnyy,69.1989,33.4478,20.0,69,49,4.13,RU,1691088956
177,meadow lake,34.8014,-106.5436,33.31,27,0,4.94,US,1691088956
178,port elizabeth,-33.918,25.5701,22.16,33,0,3.09,ZA,1691088270
179,taksimo,56.3444,114.8794,13.97,75,5,0.06,RU,1691088957
180,kenai,60.5544,-151.2583,15.05,85,20,6.17,US,1691088957
181,la passe,45.5549,-0.8967,19.13,78,96,7.47,FR,1691088590
182,la ronge,55.1001,-105.2842,21.12,73,75,2.57,CA,1691088648
183,at taj,24.2049,23.2857,34.96,12,5,4.8,LY,1691088669
184,la palma,33.8464,-118.0467,33.01,64,0,2.68,US,1691088958
185,rongelap,11.1635,166.8941,28.68,77,100,7.15,MH,1691088578
186,port saint john's,-31.6229,29.5448,17.58,58,0,3.1,ZA,1691088549
187,chonchi,-42.6128,-73.8092,9.51,65,30,2.56,CL,1691088558
188,puerto aysen,-45.4,-72.7,7.02,76,75,0.0,CL,1691088959
189,laguna,38.421,-121.4238,28.51,52,0,4.63,US,1691088842
190,happy valley-goose bay,53.3168,-60.3315,18.17,72,75,3.6,CA,1691088274
191,kant,27.8,79.8,31.46,65,100,2.37,IN,1691088959
192,sitka,57.0531,-135.33,16.94,77,40,0.0,US,1691088606
193,minas de marcona,-15.2119,-75.1103,18.92,50,88,3.77,PE,1691088574
194,mcalester,34.9334,-95.7697,39.19,37,0,5.14,US,1691088757
195,doka,13.5167,35.7667,23.21,82,50,2.26,SD,1691088961
196,vorgashor,67.5833,63.95,19.17,72,0,2.79,RU,1691088604
197,novaya igirma,57.1334,103.9112,14.71,64,100,1.18,RU,1691088961
198,ponta delgada,37.7333,-25.6667,24.4,78,75,5.66,PT,1691088961
